" Nom Ville ";"MAJ   ";" Code Postal ";" Code INSEE ";"Code Région";" Latitude ";" Longitude ";" Eloignement "
"Gionges";"GIONGES";51130;51271;21;"48.933333";"3.966667";"0"
"Giou-de-Mamou";"GIOU DE MAMOU";15130;15074;83;"44.933333";"2.516667";"0"
"Gioux";"GIOUX";23500;23091;74;"45.808333";"2.125";"0"
"Gipcy";"GIPCY";3210;3122;83;"46.5";"3.066667";"0"
"Girac";"GIRAC";46130;46123;73;"44.916667";"1.816667";"0"
"Girancourt";"GIRANCOURT";88390;88201;11;"48.166667";"6.316667";"0"
"Giraumont";"GIRAUMONT";60150;60273;22;"49.466667";"2.816667";"0"
"Giraumont";"GIRAUMONT";54780;54227;41;"49.166667";"5.916667";"0"
"Girauvoisin";"GIRAUVOISIN";55200;55212;41;"48.8";"5.633333";"0"
"Gircourt-lès-Viéville";"GIRCOURT LES VIEVILLE";88500;88202;11;"48.333333";"6.2";"0"
"Girecourt-sur-Durbion";"GIRECOURT SUR DURBION";88600;88203;11;"48.25";"6.6";"0"
"Girefontaine";"GIREFONTAINE";70210;70269;72;"47.9";"6.183333";"0"
"Giremoutiers";"GIREMOUTIERS";77120;77206;11;"48.85";"3.033333";"0"
"Girgols";"GIRGOLS";15310;15075;83;"45.033333";"2.416667";"0"
"Giriviller";"GIRIVILLER";54830;54228;41;"48.45";"6.483333";"0"
"Girmont";"GIRMONT";88150;88204;11;"48.266667";"6.433333";"0"
"Girmont-Val-d'Ajol";"GIRMONT VAL D AJOL";88340;88205;11;"47.95";"6.55";"0"
"Girolles";"GIROLLES";45120;45156;24;"48.066667";"2.716667";"0"
"Girolles";"GIROLLES";89200;89188;11;"47.533333";"3.85";"0"
"Giromagny";"GIROMAGNY";90200;90052;73;"47.75";"6.833333";"0"
"Giron";"GIRON";1130;1174;82;"46.233333";"5.766667";"0"
"Gironcourt-sur-Vraine";"GIRONCOURT SUR VRAINE";88170;88206;11;"48.316667";"5.933333";"0"
"Girondelle";"GIRONDELLE";8260;8189;21;"49.85";"4.383333";"0"
"Gironville";"GIRONVILLE";77890;77207;11;"48.183333";"2.533333";"0"
"Gironville-et-Neuville";"GIRONVILLE ET NEUVILLE";28170;28181;24;"48.616667";"1.383333";"0"
"Gironville-sous-les-Côtes";"GIRONVILLE SOUS LES COTES";55200;55213;41;"48.8";"5.666667";"0"
"Gironville-sur-Essonne";"GIRONVILLE-SUR-ESSONNE";91720;91273;0;"0.0";"0.0";"0"
